"Node","Type","In_Degree","Out_Degree","Total_Degree","Betweenness","Closeness","PageRank","In_Cycle","SCC_ID","SCC_Size"
"Bacterial_Vaginosis","regular",1,0,1,0,0.000348068221371389,0.000481923091573683,FALSE,594,1
"Banding_procedure","regular",0,2,2,0,0.000441891294741494,0.000470806819447831,FALSE,593,1
"Begomovirus","regular",0,1,1,0,0.000398883127243718,0.000470806819447831,FALSE,592,1
"Bilateral_renal_artery_stenosis","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,591,1
"Blast","regular",0,1,1,0,0.000296471983397569,0.000470806819447831,FALSE,589,1
"Bleomycin","regular",0,2,2,0,0.000374111485222596,0.000470806819447831,FALSE,588,1
"Blind_Vision","regular",4,0,4,0,0.000406173842404549,0.0046756418979308,FALSE,786,1
"Blood_Coagulation_Disorders","regular",1,0,1,0,0.000337381916329285,0.000515271907951238,FALSE,587,1
"Blood_Pressure","regular",1,0,1,0,0.000441501103752759,0.00140505922789549,FALSE,777,1
"Blood_Pressure_Monitoring_Ambulatory","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,586,1
"Bone_necrosis","regular",2,0,2,0,0.000324044069993519,0.000608013378258342,FALSE,585,1
"Bradykinin","regular",0,3,3,0,0.00032927230819888,0.000470806819447831,FALSE,584,1
"Brain_Edema","regular",1,0,1,0,0.000441501103752759,0.00140505922789549,FALSE,776,1
"Brain_Injuries","regular",0,1,1,0,0.000393081761006289,0.000470806819447831,FALSE,583,1
"Brain_hemorrhage","regular",1,0,1,0,0.000441501103752759,0.00140505922789549,FALSE,775,1
"Bronchiolitis","regular",0,1,1,0,0.000336134453781513,0.000470806819447831,FALSE,582,1
"CA2","regular",0,1,1,0,0.000327653997378768,0.000470806819447831,FALSE,581,1
"CD69_protein_human_CD69","regular",0,1,1,0,0.00037202380952381,0.000470806819447831,FALSE,580,1
"COLLAGENASE","regular",0,1,1,0,0.000328191663931736,0.000470806819447831,FALSE,579,1
"CRYGC_CRYGEP","regular",0,1,1,0,0.000365497076023392,0.000470806819447831,FALSE,578,1
"Cadmium","regular",0,4,4,0,0.000454132606721163,0.000470806819447831,FALSE,577,1
"Caffeine","regular",0,1,1,0,0.000327653997378768,0.000470806819447831,FALSE,576,1
"Calcineurin_inhibitor","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,575,1
"Calcium","regular",0,2,2,0,0.000445632798573975,0.000470806819447831,FALSE,574,1
"Candidate_Disease_Gene","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,573,1
"Capsaicin","regular",0,1,1,0,0.000327653997378768,0.000470806819447831,FALSE,572,1
"Carbachol","regular",0,1,1,0,0.000327653997378768,0.000470806819447831,FALSE,571,1
"Carbon_Tetrachloride","regular",0,2,2,0,0.000374111485222596,0.000470806819447831,FALSE,570,1
"Carbon_tetrachloride_homeopathic_preparation","regular",0,2,2,0,0.000374111485222596,0.000470806819447831,FALSE,569,1
"Carcinogens","regular",0,1,1,0,0.000336927223719677,0.000470806819447831,FALSE,568,1
"Cardiac_complication","regular",1,1,2,0,0.000453926463912846,0.00140505922789549,FALSE,774,1
"Cardiomyopathies_Primary","regular",0,1,1,0,0.000342231348391513,0.000470806819447831,FALSE,567,1
"Cardiopulmonary_Bypass","regular",0,2,2,0,0.000369822485207101,0.000470806819447831,FALSE,565,1
"Cardiotoxicity","regular",1,0,1,0,0.000356379187455453,0.000482933661766942,FALSE,564,1
"Cardiovascular_arteriosclerosis_unspecified","regular",0,1,1,0,0.00037202380952381,0.000470806819447831,FALSE,563,1
"Cardiovascular_morbidity","regular",1,0,1,0,0.000441501103752759,0.00140505922789549,FALSE,773,1
"Catecholamines","regular",0,2,2,0,0.000442282176028306,0.000470806819447831,FALSE,562,1
"Cell_Death","regular",6,0,6,0,0.000372856077554064,0.000681438521157149,FALSE,681,1
"Cerebral_Amyloid_Angiopathy","regular",0,1,1,0,0.000393081761006289,0.000470806819447831,FALSE,561,1
"Cerebral_Edema","regular",1,0,1,0,0.000441501103752759,0.00140505922789549,FALSE,772,1
"Cerebral_Hemorrhage","regular",1,0,1,0,0.000441501103752759,0.00140505922789549,FALSE,771,1
"Cerebral_Infarction","regular",1,0,1,0,0.000342465753424658,0.000599545335720375,FALSE,713,1
"Cerebral_Ischemia","regular",1,1,2,0,0.000374251497005988,0.000599545335720375,FALSE,712,1
"Cerebral_atrophy","regular",1,1,2,0,0.000393081761006289,0.00229285177316298,TRUE,700,61
"Cerebrospinal_Fluid","regular",0,1,1,0,0.000393081761006289,0.000470806819447831,FALSE,560,1
"Cerebrovascular_Disorders","regular",1,1,2,0,0.000453926463912846,0.00140505922789549,FALSE,769,1
"Cervical_Ripening","regular",0,1,1,0,0.000321853878339234,0.000470806819447831,FALSE,559,1
"Cessation_of_life","regular",102,0,102,0,0.000542888165038002,0.0651466991159315,FALSE,787,1
"Challenge","regular",1,0,1,0,0.000345065562456867,0.000569447854176013,FALSE,695,1
"Charcot_Marie_Tooth_Disease","regular",1,0,1,0,0.000356379187455453,0.000477706574560429,FALSE,558,1
"Chemicals","regular",0,5,5,0,0.000414765657403567,0.000470806819447831,FALSE,557,1
"Chemokine_C_C_Motif_Ligand_4_CCL4","regular",0,4,4,0,0.000382116927779901,0.000470806819447831,FALSE,556,1
"Chlorpyrifos","regular",0,1,1,0,0.00035498757543486,0.000470806819447831,FALSE,555,1
"Cholestasis","regular",1,0,1,0,0.000325520833333333,0.000515271907951238,FALSE,554,1
"Cholesterol","regular",0,2,2,0,0.000395100750691426,0.000470806819447831,FALSE,553,1
"Chronic_Disease","regular",0,2,2,0,0.000377928949357521,0.000470806819447831,FALSE,552,1
"Chronic_Obstructive_Airway_Disease","regular",0,2,2,0,0.000372856077554064,0.000470806819447831,FALSE,551,1
"Chronic_heart_failure","regular",1,0,1,0,0.000441501103752759,0.00140505922789549,FALSE,768,1
"Chronic_infectious_disease","regular",0,1,1,0,0.000349406009783368,0.000470806819447831,FALSE,550,1
"Chronic_inflammation","regular",1,3,4,0,0.000482625482625483,0.000614662854792989,TRUE,700,61
"Chronic_liver_disease_NOS","regular",1,0,1,0,0.000398883127243718,0.00178183733024825,FALSE,718,1
"Chronic_pain","regular",1,0,1,0,0.000398883127243718,0.00178183733024825,FALSE,717,1
"Chymosin_REN","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,549,1
"Cigarette_smoke","regular",0,3,3,0,0.000383877159309021,0.000470806819447831,FALSE,548,1
"Cisplatin","regular",0,4,4,0,0.00037593984962406,0.000470806819447831,FALSE,547,1
"Clip","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,546,1
"Clipping","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,545,1
"Closure_by_clamp","regular",0,2,2,0,0.000442477876106195,0.000470806819447831,FALSE,544,1
"Cocaine","regular",0,2,2,0,0.000441891294741494,0.000470806819447831,FALSE,542,1
"Compression_procedure","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,540,1
"Concanavalin_A","regular",0,1,1,0,0.000365497076023392,0.000470806819447831,FALSE,539,1
"Congenital_Disorders","regular",1,0,1,0,0.000356379187455453,0.000477706574560429,FALSE,537,1
"Connective_Tissue_Diseases","regular",1,0,1,0,0.000356379187455453,0.000477706574560429,FALSE,534,1
"Constriction_procedure","regular",0,3,3,0,0.000443458980044346,0.000470806819447831,FALSE,533,1
"Contraceptives_Oral","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,532,1
"Contrast_Media","regular",0,2,2,0,0.000333778371161549,0.000470806819447831,FALSE,531,1
"Copper","regular",0,1,1,0,0.000393081761006289,0.000470806819447831,FALSE,530,1
"Coronary_Arteriosclerosis","regular",1,3,4,0,0.00045662100456621,0.00140505922789528,TRUE,700,61
"Coronary_Artery_Vasospasm","regular",0,1,1,0,0.000331345261762757,0.000470806819447831,FALSE,529,1
"Coronary_Occlusion","regular",0,1,1,0,0.000331345261762757,0.000470806819447831,FALSE,528,1
"Coronary_heart_disease","regular",1,1,2,0,0.000453926463912846,0.00140505922789549,FALSE,766,1
"Coronavirus_Infections","regular",0,2,2,0,0.00040016006402561,0.000470806819447831,FALSE,527,1
"Corticosterone","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,526,1
"Corticotropin","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,525,1
"Cosmetic_procedure","regular",0,1,1,0,0.000351741118536757,0.000470806819447831,FALSE,524,1
"Cyclophosphamide","regular",0,1,1,0,0.00035498757543486,0.000470806819447831,FALSE,523,1
"Cyclosporine","regular",0,3,3,0,0.000442282176028306,0.000470806819447831,FALSE,520,1
"Cystic_Fibrosis","regular",1,0,1,0,0.000356379187455453,0.000477706574560429,FALSE,519,1
"Cytokine_Storm","regular",1,0,1,0,0.000345065562456867,0.000569447854176013,FALSE,694,1
"Cytokinesis_of_the_fertilized_ovum","regular",2,0,2,0,0.00030902348578492,0.000770946166845824,FALSE,518,1
