"node","in_degree","out_degree","total_degree","betweenness"
"Premature_Birth",15,5,20,775.788852559547
"Bacteria_Anaerobic",0,1,1,0
"Bacterial_Endocarditis",0,2,2,0
"Bacterial_Infections",1,8,9,0
"Bacterial_Toxins",0,1,1,0
"Bacterial_Vaginosis",1,1,2,0
"Bacterial_product",0,1,1,0
"Bacterial_resistance",0,1,1,0
"Balloon_Occlusion",0,2,2,0
"Balloon_dilatation_catheter",0,1,1,0
"Banding_procedure",0,8,8,0
"Hypertrophy_Right_Ventricular",2,0,2,0
"Bands",0,1,1,0
"Barbiturates",0,1,1,0
"Baresthesia",0,1,1,0
"Bariatric_Surgery",0,2,2,0
"Barium",0,1,1,0
"Bartonella",0,1,1,0
"Bartonella_henselae",0,1,1,0
"Basidiomycota",0,1,1,0
"Basis",0,1,1,0
"Batrachochytrium_dendrobatidis",0,1,1,0
"Bay_K_8644",0,1,1,0
"Beak_and_feather_disease_virus",0,1,1,0
"Bed_rest",0,2,2,0
"Begomovirus",0,1,1,0
"Benzene",0,2,2,0
"Benzodiazepines",0,1,1,0
"Beriberi",0,1,1,0
"Beta_hemolytic_streptococcus",0,1,1,0
"Betacoronavirus",0,1,1,0
"Bethanechol",0,1,1,0
"Beverages",0,1,1,0
"Bezoars",0,1,1,0
"Biallelic_Mutation",0,2,2,0
"Bilateral_hyperplasia",0,2,2,0
"Bilateral_renal_artery_stenosis",0,1,1,0
"Bile_Acids",0,6,6,0
"Bile_Salts",0,1,1,0
"Biliary_Atresia",0,1,1,0
"Biliary_calculi",0,3,3,0
"Bilirubin",0,4,4,0
"Brain_Injuries",15,11,26,667.619977894378
"Biocompatible_Materials",0,2,2,0
"Biological_Factors",0,1,1,0
"Biological_Models",0,1,1,0
"Biological_Products",0,2,2,0
"Biological_Response_Modifiers",0,3,3,0
"Biopsy",0,2,2,0
"Bipolar_Disorder",1,1,2,0
"Bladder_outlet_obstruction",0,2,2,0
"Blast",0,2,2,0
"Traumatic_Brain_Injury",5,21,26,913.345321764942
"Bleeding_varices",0,1,1,0
"Bleomycin",0,7,7,0
"Hypertension_Pulmonary",50,5,55,13653.8720242706
"Blind_Vision",19,1,20,0.766086886763661
"Blood",0,2,2,0
"Cerebral_Hemorrhage",5,1,6,1.30952380952381
"Blood_Coagulation_Disorders",8,3,11,7.86725439400556
"Blood_Glucose",0,3,3,0
"Blood_Pressure_Monitoring_Ambulatory",0,1,1,0
"Blood_Transfusion",0,1,1,0
"Bluetongue_virus",0,1,1,0
"Body_Weight_decreased",5,1,6,2.00682848498251
"Bombesin",0,1,1,0
"Bone_Diseases",4,1,5,4.72812990719292
"Bone_Wires",0,1,1,0
"Bone_plates",0,1,1,0
"Bontoxilysin",0,1,1,0
"Borg_Category_Ratio_10_Perceived_Exertion_Score_5",1,1,2,0
"Borna_disease_virus",0,1,1,0
"Borrelia",0,1,1,0
"Borrelia_burgdorferi",0,2,2,0
"Botryosphaeria_dothidea",0,1,1,0
"Botrytis_cinerea",0,1,1,0
"Botulinum_Toxins",0,1,1,0
"Bradykinin",0,5,5,0
"Brain_Concussion",0,1,1,0
"Brain_Diseases",0,1,1,0
"Intracranial_Hypertension",7,4,11,2772.1643764782
"Cerebral_Palsy",4,1,5,2.43813767122665
